country,code,year,prim_nrg_share_renewables
Austria,AUT,1965,23.94
Austria,AUT,1966,24.66
Austria,AUT,1967,24.931
Austria,AUT,1968,23.942
Austria,AUT,1969,21.212
Austria,AUT,1970,23.624
Austria,AUT,1971,18.684
Austria,AUT,1972,18.56
Austria,AUT,1973,19.189
Austria,AUT,1974,22.621
Austria,AUT,1975,23.879
Austria,AUT,1976,19.89
Austria,AUT,1977,24.109
Austria,AUT,1978,23.115
Austria,AUT,1979,24.606
Austria,AUT,1980,25.617
Austria,AUT,1981,28.003
Austria,AUT,1982,29.015
Austria,AUT,1983,28.818
Austria,AUT,1984,25.484
Austria,AUT,1985,27.82
Austria,AUT,1986,28.812
Austria,AUT,1987,30.802
Austria,AUT,1988,31.323
Austria,AUT,1989,31.002
Austria,AUT,1990,27.545
Austria,AUT,1991,26.257
Austria,AUT,1992,29.605
Austria,AUT,1993,30.632
Austria,AUT,1994,29.87
Austria,AUT,1995,30.057
Austria,AUT,1996,27.57
Austria,AUT,1997,28.553
Austria,AUT,1998,29.015
Austria,AUT,1999,30.802
Austria,AUT,2000,31.496
Austria,AUT,2001,29.389
Austria,AUT,2002,28.903
Austria,AUT,2003,23.867
Austria,AUT,2004,26.262
Austria,AUT,2005,26.547
Austria,AUT,2006,27.137
Austria,AUT,2007,29.405
Austria,AUT,2008,29.831
Austria,AUT,2009,32.67
Austria,AUT,2010,29.984
Austria,AUT,2011,29.073
Austria,AUT,2012,34.142
Austria,AUT,2013,33.477
Austria,AUT,2014,34.771
Austria,AUT,2015,33.107
Austria,AUT,2016,33.768
Austria,AUT,2017,32.71
Austria,AUT,2018,32.566
Austria,AUT,2019,33.702
Canada,CAN,1965,23.981
Canada,CAN,1966,25.004
Canada,CAN,1967,24.438
Canada,CAN,1968,23.338
Canada,CAN,1969,24.352
Canada,CAN,1970,23.871
Canada,CAN,1971,23.779
Canada,CAN,1972,24.717
Canada,CAN,1973,24.773
Canada,CAN,1974,26.01
Canada,CAN,1975,25.448
Canada,CAN,1976,25.284
Canada,CAN,1977,24.755
Canada,CAN,1978,26.108
Canada,CAN,1979,26.318
Canada,CAN,1980,26.523
Canada,CAN,1981,28.474
Canada,CAN,1982,28.593
Canada,CAN,1983,29.687
Canada,CAN,1984,30.0
Canada,CAN,1985,30.775
Canada,CAN,1986,31.419
Canada,CAN,1987,30.959
Canada,CAN,1988,28.942
Canada,CAN,1989,27.177
Canada,CAN,1990,28.217
Canada,CAN,1991,29.252
Canada,CAN,1992,29.314
Canada,CAN,1993,29.338
Canada,CAN,1994,28.856
Canada,CAN,1995,28.898
Canada,CAN,1996,29.843
Canada,CAN,1997,29.184
Canada,CAN,1998,28.184
Canada,CAN,1999,28.454
Canada,CAN,2000,28.572
Canada,CAN,2001,27.152
Canada,CAN,2002,27.567
Canada,CAN,2003,26.248
Canada,CAN,2004,25.99
Canada,CAN,2005,27.285
Canada,CAN,2006,26.991
Canada,CAN,2007,27.025
Canada,CAN,2008,27.706
Canada,CAN,2009,28.774
Canada,CAN,2010,27.021
Canada,CAN,2011,27.608
Canada,CAN,2012,28.251
