country,product,year,budget_renewables,budget_total,share_budget_renewables
Austria,RDDUSDPPP,1990,3.671,22.212,16.52710246713488
Austria,RDDUSDPPP,1991,8.418,38.161,22.05917035717093
Austria,RDDUSDPPP,1992,7.245,31.711,22.846961622150044
Austria,RDDUSDPPP,1993,9.878,42.004,23.516807923054948
Austria,RDDUSDPPP,1994,12.774,46.335,27.568792489478795
Austria,RDDUSDPPP,1995,15.113,46.558,32.460586794965415
Austria,RDDUSDPPP,1996,11.729,46.427,25.263316604561997
Austria,RDDUSDPPP,1997,14.048,48.58,28.917249897076985
Austria,RDDUSDPPP,1998,18.473,51.495,35.87338576560831
Austria,RDDUSDPPP,1999,17.374,49.747,34.9247190785374
Austria,RDDUSDPPP,2000,12.079,43.105,28.022271198236865
Austria,RDDUSDPPP,2001,14.385,54.215,26.53324725629438
Austria,RDDUSDPPP,2002,17.369,52.352,33.177338019559905
Austria,RDDUSDPPP,2003,17.539,44.202,39.67920003619746
Austria,RDDUSDPPP,2004,16.615,58.378,28.46106409948953
Austria,RDDUSDPPP,2005,20.543,57.014,36.031501034833546
Austria,RDDUSDPPP,2006,23.041,70.584,32.64337526918282
Austria,RDDUSDPPP,2007,24.157,51.976,46.47722025550254
Austria,RDDUSDPPP,2008,39.11,113.768,34.376977709021865
Austria,RDDUSDPPP,2009,51.08,144.712,35.29769473160484
Austria,RDDUSDPPP,2010,52.289,188.062,27.80412842573194
Austria,RDDUSDPPP,2011,50.062,184.56,27.12505418292154
Austria,RDDUSDPPP,2012,42.237,179.753,23.497243439608802
Austria,RDDUSDPPP,2013,43.38,183.302,23.665862892930793
Austria,RDDUSDPPP,2014,46.677,206.073,22.650711155755484
Austria,RDDUSDPPP,2015,31.152,180.857,17.224658155338197
Austria,RDDUSDPPP,2016,42.178,194.923,21.63828793934015
Austria,RDDUSDPPP,2017,29.284,191.084,15.325197295430282
Austria,RDDUSDPPP,2018,31.254,204.048,15.316984239002588
Austria,RDDUSDPPP,2019,31.143,197.554,15.764297356672099
Canada,RDDUSDPPP,1990,18.034,546.064,3.3025432916288198
Canada,RDDUSDPPP,1991,17.216,507.266,3.393880133894249
Canada,RDDUSDPPP,1992,19.707,506.604,3.890020607812019
Canada,RDDUSDPPP,1993,17.697,429.773,4.117755187040601
Canada,RDDUSDPPP,1994,20.409,431.821,4.726263891751443
Canada,RDDUSDPPP,1995,19.946,422.284,4.723361529207832
Canada,RDDUSDPPP,1996,19.818,387.902,5.1090223819418314
